section,module_type_model,module_type_description,hedgehog_class,manufacturer,quantity,cage_type,medium,connector,standard,reach_class,wavelength_nm,host_lane_count,host_serdes_gbps_per_lane,optical_lane_pattern,gearbox_present,cable_assembly_type,breakout_topology,is_cable_assembly
server,OPG-256 Compute Server FE-BE,,compute,Generic,32,,,,,,,,,,,,,false
switch,celestica-ds5000,,be-rail-leaf,Celestica,4,,,,,,,,,,,,,false
switch,celestica-ds5000,,be-spine,Celestica,2,,,,,,,,,,,,,false
switch,celestica-ds5000,,fe-leaf,Celestica,2,,,,,,,,,,,,,false
switch,celestica-ds5000,,fe-spine,Celestica,1,,,,,,,,,,,,,false
nic,BlueField-3 2x200G,,,NVIDIA,32,,,,,,,,,,Unknown,,,false
nic,ConnectX-7 Single-Port 400G,,,NVIDIA,256,,,,,,,,,,Unknown,,,false
server_transceiver,QSFP112-200GBASE-SR2,200G QSFP112 SR2 (MPO-12) — generic placeholder; replace with vendor SKU when qualified,,Generic,320,QSFP112,MMF,MPO-12,200GBASE-SR2,SR,850,2,100,SR2,false,none,1x,false
switch_transceiver,QSFP112-200GBASE-SR2,200G QSFP112 SR2 (MPO-12) — generic placeholder; replace with vendor SKU when qualified,,Generic,528,QSFP112,MMF,MPO-12,200GBASE-SR2,SR,850,2,100,SR2,false,none,1x,false
# suppressed_switch_cable_assembly_count,0
